Passenger Count;Trip Distance (in miles);Fare Amount;Surcharge;Tip Amount;Total Amount;Generous ? 
1;2,36;9;0,5;0;10,3;No
1;2,44;11;0,5;1;13,3;Yes
2;0,7;5;0,5;0;6,3;No
1;0,8;5,5;0,5;0;6,8;No
1;1,2;7;0,5;1,65;9,95;Yes
2;0,8;7,5;0,5;3;11,8;Yes
2;1,8;10,5;0,5;0;11,8;No
1;0,6;4,5;0,5;0;5,8;No
1;1;6,5;0,5;1,55;9,35;Yes
2;0,87;6;0,5;0;7,3;No
1;1,5;7;0,5;1,25;9,55;Yes
1;1,6;7,5;0,5;1,75;10,55;Yes
2;2;8;0,5;2;11,3;Yes
1;1,69;8;0,5;0;9,3;No
5;1,04;8,5;0,5;0;9,8;No
1;1,9;11,5;0,5;2,55;15,35;Yes
1;2,86;17,5;0,5;3,6;22,4;Yes
5;5,8;22,5;0,5;0;23,8;No
2;0,3;7;0,5;0;8,3;No
1;4,26;14,5;0,5;4,5;20,3;Yes
1;7,69;23;0,5;4,7;29;Yes
1;0,8;5;0,5;0;6,3;No
1;0,81;6;0,5;1,3;8,6;Yes
1;2,4;10,5;0,5;0;11,8;No
1;1,8;9,5;0,5;0;10,8;No
1;3,63;12,5;0,5;0;13,8;No
1;3,7;13;0,5;0;14,3;No
1;0,6;5;0,5;0;6,3;No
6;0,81;5,5;0,5;0;6,8;No
5;0,84;4,5;0,5;0;5,8;No
1;1,1;6,5;0,5;10;17,8;Yes
1;4,78;17;0,5;0;18,3;No
3;4,3;15,7;1;2;19,5;Yes
1;0,42;3,5;0,5;1;5,8;Yes
1;2,02;8,5;0,5;0;9,8;No
1;1,57;11;0,5;0;12,3;No
1;8,09;60;0;13,95;84;Yes
5;2,23;10;0,5;0;11,3;No
1;12,8;35;0,5;0;36,3;No
5;0,67;4;0,5;0;5,3;No
1;0,85;5;0,5;0;6,3;No
1;1,2;7,5;0,5;3;11,8;Yes
1;2,29;10;0,5;0;11,3;No
1;0,5;4;0,5;0;5,3;No
1;1,37;7;0,5;0;8,3;No
1;1,08;7,5;0,5;0;8,8;No
2;0,63;4;0,5;0,9;5,9;Yes
5;0,79;5,5;0,5;1,5;8,3;Yes
6;1,02;6,5;0,5;0;7,8;No
1;1,6;9;0,5;0;10,3;No
1;0,13;3;0,5;0;4,3;No
2;0,3;4;0,5;0;5,3;No
6;1,02;6;0,5;1,3;8,6;Yes
2;3,2;12,2;0,5;0;13,5;No
1;3,86;15,5;0,5;0;16,8;No
1;0,9;5;0,5;0,7;7;Yes
6;3,31;12;0,5;0;13,3;No
1;3;11,7;0,5;2,6;15,6;Yes
5;2,26;12;0,5;0;13,3;No
1;5;17,5;0,5;5,6;24,4;Yes
2;1,6;8,5;0,5;0;9,5;No
1;0;12,5;0,5;0;13,8;No
1;2,1;9,5;0,5;2,15;12,95;Yes
2;1,03;5,5;0,5;0;6,8;No
1;0,4;5;0,5;0;6,3;No
1;0,7;6;0,5;2,15;9,45;Yes
1;4,31;15;0,5;0;16,3;No
1;1,59;7;0,5;1;9,3;Yes
3;12,41;33,5;0,5;0;34,8;No
1;1,43;6,5;0,5;0;7,8;No
1;1,22;6,5;0,5;0;7,8;No
1;0,98;5,5;0,5;0;6,5;No
3;1,47;7,5;0,5;0;8,8;No
2;2,04;10,5;0,5;2,75;14,55;Yes
1;5,4;18,5;0,5;3,95;23,75;Yes
1;2,35;15;0,5;3,1;19,4;Yes
1;0,68;4,5;0,5;0;5,8;No
